Precio	Expensas	Calle	Altura	Piso	Ubicacion	Detalles	Caracteristicas	Descripción	Publicado	Visualizaciones	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 340.000	N/A	Arcos al	4600	0	Núñez, Capital Federal	130 m² tot. | 4 amb. | 3 dorm. | 1 baño | 1 coch.	Frente del terreno (mts): 8 | Largo del terreno (mts): 15 | Cantidad plantas: 2 | Permite mascotas | Cobertura cochera: Descubierta | Superficie Semicubierta (m²): 0 | Cocina | Comedor | Patio | Comedor de diario | Terraza | Lavadero | Balcón | Living | Baulera | Living comedor | Calefacción | Termotanque	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-en-lomas-de-nunez-3-dorm.-c-patio-56923164.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=27	0	0	0	0	1	0	0	1
USD 80.000	$ 92.000 Expensas	Avenida Córdoba e/ Armenia y Malabia	N/A	N/A	Villa Urquiza, Capital Federal	37 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Permite mascotas | Superficie Semicubierta (m²): 0 | Ascensor | Cocina | Comedor | Comedor de diario | Lavadero | Living | Living comedor | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-villa-58240670.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=28	0	0	0	0	0	0	0	0
USD 540.000	$ 360.000 Expensas	Avenida del Libertador al	7400	0	Núñez, Capital Federal	90 m² tot. | 3 amb. | 2 dorm. | 2 baños | 1 coch.	Cantidad plantas: 1 | Sala de juegos | Permite mascotas | Gimnasio | Cobertura cochera: Cubierta | Solarium | Superficie Semicubierta (m²): 5 | Hidromasaje | Laundry | Encargado / Vigilancia | Internet / Wifi | Comedor de diario | Balcón | Dormitorio en suite | Escritorio | Jardín | Aire acondicionado | Sauna | Calefacción | Quincho | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dos-dorm.-en-suite-en-piso-muy-alto-quantum-58439057.html?n_src=Listado&n_pills=SUM&n_pg=2&n_pos=29	1	0	1	0	1	1	0	1
USD 119.000	$ 220.000 Expensas	Manuel Artigas	5100	0	Mataderos, Capital Federal	61 m² tot. | 3 amb. | 2 dorm. | 1 baño | 1 coch.	Cantidad plantas: 5 o más | Apto crédito | Parrilla | Permite mascotas | Internet / Wifi | Ascensor | Cocina | Comedor | Balcón | Living | Living comedor | Hall | Aire acondicionado | Calefacción | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dto-3-amb-mataderos-c-balcon-y-cochera-58634254.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=2&n_pos=30	1	0	1	1	1	1	0	1
USD 144.000	$ 30.000 Expensas	San Nicolás	3100	0	Villa del Parque, Capital Federal	85 m² tot. | 3 amb. | 2 dorm. | 1 baño	Frente del terreno (mts): 8 | Largo del terreno (mts): 39 | Cantidad plantas: 1 | Apto crédito | Parrilla | Cocina | Comedor | Patio | Comedor de diario | Lavadero | Balcón | Living | Living comedor | Aire acondicionado | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta.-ph-3-ambientes.-patio-y-balcon.-villa-del-58681493.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=3&n_pos=1	1	0	1	1	0	0	0	1
USD 113.000	$ 116.000 Expensas	Ángel Justiniano Carranza	2300	0	Palermo Hollywood, Palermo	40 m² tot. | 1 amb. | 1 baño	Cantidad pisos en edificio: 17 | Encargado / Vigilancia | Ascensor | Cocina | Lavadero | Balcón | Living comedor | Aire acondicionado | Calefacción | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-impec-piso-alto!-todo-a-nuevo!-espectacular-vista-58619798.html?n_src=Listado&n_pills=Encargado&n_pg=3&n_pos=2	0	0	1	0	0	1	0	1
USD 170.000	N/A	Anchorena al	800	0	Palermo, Capital Federal	61 m² tot. | 3 amb. | 2 dorm. | 1 baño	Cantidad plantas: 1 | Apto crédito | Superficie Semicubierta (m²): 2 | Internet / Wifi | Cocina | Comedor | Comedor de diario | Lavadero | Balcón | Aire acondicionado | Caldera	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-en-palermo-58450974.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=3&n_pos=3	0	0	1	1	0	0	0	1
USD 110.000	$ 100.000 Expensas	Juramento	3300	0	Belgrano R, Belgrano	53 m² tot. | 3 amb. | 2 dorm. | 1 baño		Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-belgrano-r-capital-federal-57146133.html?n_src=Listado&n_pg=3&n_pos=5	0	0	0	0	0	0	0	0
USD 205.000	$ 240.000 Expensas	Roosevelt 1900 5°	N/A	N/A	Belgrano C, Belgrano	70 m² tot. | 2 amb. | 1 dorm. | 2 baños	Cantidad plantas: 1 | Parrilla | Permite mascotas | Pileta | Solarium | Superficie Semicubierta (m²): 0 | Laundry | Cocina | Comedor de diario | Lavadero | Living comedor | Escritorio | Vestidor | Aire acondicionado | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-belgrano-c-58012286.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=6	1	0	1	0	0	0	0	0
USD 280.000	N/A	Castro Barros al	200	0	Almagro, Capital Federal	149 m² tot.	Frente del terreno (mts): 0 | Largo del terreno (mts): 0	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-almagro-58098533.html?n_src=Listado&n_pg=3&n_pos=7	0	0	0	0	0	0	0	0
USD 259.000	N/A	Amenabar al	100	0	Palermo Hollywood, Palermo	91 m² tot. | 4 amb. | 3 dorm. | 2 baños	Frente del terreno (mts): 0 | Largo del terreno (mts): 0 | Cantidad plantas: 1 | Permite mascotas | Superficie Semicubierta (m²): 0	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-excelente-ph-reciclado-a-nuevo!.-58320809.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=9	0	0	0	0	0	0	0	0
USD 320.000	$ 817.000 Expensas	Amenabar al	2100	0	Belgrano, Capital Federal	119 m² tot. | 4 amb. | 3 dorm. | 2 baños | 1 coch.	Cantidad plantas: 1 | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 2 | Ascensor | Cocina | Comedor de diario | Lavadero | Balcón | Living comedor | Dormitorio en suite	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-de-4-ambientes-con-cochera-y-57998577.html?n_src=Listado&n_pills=Luminoso&n_pg=3&n_pos=10	0	0	0	0	1	0	0	1
USD 560.000	$ 700.000 Expensas	Crámer al	2400	0	Belgrano C, Belgrano	198 m² tot. | 4 amb. | 3 dorm. | 2 baños | 1 coch.	Cantidad plantas: 5 o más | Gimnasio | Pileta | Cobertura cochera: Descubierta | Superficie Semicubierta (m²): 0 | Encargado / Vigilancia | Cocina | Comedor de diario | Dependencia servicio | Terraza | Lavadero | Balcón | Baulera | Living comedor | Aire acondicionado | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-semi-piso-4-amb-con-terraza-propia-cochera-58310445.html?n_src=Listado&n_pills=SUM&n_pg=3&n_pos=11	1	0	1	0	1	1	0	1
USD 1.357.900	N/A	Valle	23	0	Caballito, Capital Federal	257 m² tot.	Encargado / Vigilancia | Cocina | Hall | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/vecllcin-donna-ambra-by-azcuy-local-en-caballito-54857506.html?n_src=Listado&n_pills=Encargado&n_pg=3&n_pos=13	0	0	0	0	0	1	0	0
USD 72.000	$ 110.000 Expensas	Av. R. Balbin	2900	0	Coghlan, Capital Federal	37 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad pisos en edificio: 5 | Departamentos por piso: 2 | Cocina | Comedor de diario | Lavadero | Living | Hall | Aire acondicionado	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-coghlan-capital-federal-58546922.html?n_src=Listado&n_pills=Terraza&n_pg=3&n_pos=14	0	0	1	0	0	0	0	0
USD 58.000	$ 75.715 Expensas	Valentin Gomez al	2700	0	Balvanera, Capital Federal	31 m² tot. | 1 amb. | 1 dorm. | 1 baño	Cantidad plantas: 5 o más | Superficie Semicubierta (m²): 0 | Ascensor | Cocina | Lavadero | Aire acondicionado	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-precioso-monoambiente-muy-luminoso-en-58702160.html?n_src=Listado&n_pg=3&n_pos=15	0	0	1	0	0	0	0	0
USD 179.000	$ 130.000 Expensas	Yapeyú	800	0	Boedo, Capital Federal	93 m² tot. | 3 amb. | 2 dorm. | 2 baños	Cantidad plantas: 3	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-duplex-3-ambientes-en-venta-en-boedo-58358675.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=17	0	0	0	0	0	0	0	0
USD 96.000	$ 150.000 Expensas	San Benito de Palermo e/ Migueletes y Avenida del Libertador	N/A	N/A	Las Cañitas, Palermo	36 m² tot. | 1 amb. | 1 baño	Apto profesional | Cantidad plantas: 1 | Permite mascotas | Superficie Semicubierta (m²): 1 | Ascensor | Cocina | Living comedor | Aire acondicionado | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-en-venta-1-bano-palermo-58077838.html?n_src=Listado&n_pills=Luminoso&n_pg=3&n_pos=18	0	0	1	0	0	0	0	0
USD 102.346	N/A	AV. Corrientes al	1900	0	Balvanera, Capital Federal	45 m² tot. | 1 amb. | 1 baño	Apto profesional | Cantidad plantas: 5 o más | Parrilla | Gimnasio | Superficie Semicubierta (m²): 0 | Ascensor | Cocina | Balcón | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-apto-profesional-sobre-av-corrientes-50547447.html?n_src=Listado&n_pills=Terraza&n_pg=3&n_pos=19	1	0	0	0	0	0	0	1
USD 149.600	N/A	Arregui al 2900 - 6 B	N/A	N/A	Villa del Parque, Capital Federal	68 m² tot. | 3 amb. | 2 dorm. | 2 baños	Apto profesional | Cantidad plantas: 5 o más | Parrilla | Solarium | Superficie Semicubierta (m²): 9 | Encargado / Vigilancia | Ascensor | Cocina | Terraza | Living comedor | Dormitorio en suite | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-3-ambientes-c-balcon-ideal-inversor-villa-55018780.html?n_src=Listado&n_pills=Encargado&n_pg=3&n_pos=21	1	0	0	0	0	1	0	1
USD 380.000	N/A	Asamblea al	500	0	Parque Chacabuco, Capital Federal	230 m² tot. | 5 amb. | 3 dorm. | 2 baños	Frente del terreno (mts): 8 | Largo del terreno (mts): 19 | Cantidad plantas: 3 | Superficie Semicubierta (m²): 0 | Hidromasaje | Cocina | Comedor | Patio | Comedor de diario | Terraza | Lavadero | Living | Living comedor | Dormitorio en suite | Aire acondicionado | Alarma	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-de-5-ambientes-desarrollada-en-3-plantas-58070716.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=3&n_pos=22	0	0	1	0	0	0	0	1
USD 156.907	N/A	Chenaut al	1800	0	Las Cañitas, Palermo	36 m² tot. | 1 amb. | 1 baño	Gimnasio | Pileta | Superficie Semicubierta (m²): 4 | Cocina | Balcón | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-en-venta-en-las-canitas-54523863.html?n_src=Listado&n_pills=SUM&n_pg=3&n_pos=23	1	0	0	0	0	0	0	1
USD 700.000	$ 750.000 Expensas	Castañeda al	1800	0	Belgrano, Capital Federal	126 m² tot. | 3 amb. | 3 dorm. | 3 baños | 1 coch.	Cantidad plantas: 1 | Parrilla | Permite mascotas | Gimnasio | Pileta | Cobertura cochera: Descubierta | Solarium | Superficie Semicubierta (m²): 16 | Hidromasaje | Encargado / Vigilancia | Cocina | Dependencia servicio | Lavadero | Balcón | Living | Living comedor | Dormitorio en suite | Vestidor | Aire acondicionado | Sauna | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-3-ambientes-escritorio-dependencia-cochera-57121302.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=24	1	0	1	0	1	1	0	1
USD 230.000	N/A	Albariño	2300	0	Mataderos, Capital Federal	160 m² tot. | 3 amb. | 2 dorm. | 2 baños | 2 coch.	Apto crédito | Acceso para personas con movilidad reducida | Cocina | Comedor de diario | Terraza | Lavadero | Living | Hall | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-mataderos-capital-federal-buenos-57649515.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=3&n_pos=25	0	0	0	1	1	0	0	1
USD 145.000	N/A	Julián Alvarez 2360 3º B	N/A	N/A	Palermo Soho, Palermo	47 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Pileta | Solarium | Superficie Semicubierta (m²): 4 | Laundry | Ascensor | Cocina | Lavadero | Balcón | Living comedor | Dormitorio en suite | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-ambiente-divisible-de-47-m-sup2--en-venta-con-conexion-58725632.html?n_src=Listado&n_pills=SUM&n_pg=3&n_pos=26	1	0	0	0	0	0	0	1
USD 84.800	$ 183.000 Expensas	Combate de los Pozos	1400	0	San Cristobal, Capital Federal	73 m² tot. | 4 amb. | 3 dorm. | 1 baño	Cantidad plantas: 5 o más | Apto crédito	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-4-ambientes-en-venta-en-san-cristobal-58711357.html?n_src=Listado&n_pills=Terraza&n_pg=3&n_pos=27	0	0	0	1	0	0	0	0
USD 99.000	$ 150.000 Expensas	Torre Bartolome Mitre al	1400	0	Congreso, Capital Federal	43 m² tot. | 1 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Apto crédito | Permite mascotas | Superficie Semicubierta (m²): 10 | Encargado / Vigilancia | Ascensor | Balcón | Aire acondicionado | Caldera | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-mono-ambiente-en-torre-con-amenities-montserrat-55928198.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=3&n_pos=28	0	0	1	1	0	1	0	1
USD 1.603.000	N/A	Echeverría al	800	0	Belgrano, Capital Federal	229 m² tot. | 4 amb. | 3 dorm. | 3 baños | 1 coch.	Cantidad plantas: 5 o más | Parrilla | Permite mascotas | Gimnasio | Pileta | Cobertura cochera: Cubierta | Solarium | Superficie Semicubierta (m²): 21 | Hidromasaje | Encargado / Vigilancia | Internet / Wifi | Ascensor | Cocina | Comedor de diario | Terraza | Lavadero | Balcón | Baulera | Living comedor | Dormitorio en suite | Vestidor | Aire acondicionado | Sauna | Calefacción | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-h-bajo-belgrano-3-dorm.-en-suite-patio-propio-56122647.html?n_src=Listado&n_pills=Encargado&n_pg=3&n_pos=29	1	0	1	0	1	1	0	1
USD 119.000	$ 1 Expensas	Av Niceto Vega al	5900	0	Palermo Hollywood, Palermo	46 m² tot.	Apto profesional | Cantidad plantas: 1 | Parrilla | Permite mascotas | Solarium | Superficie Semicubierta (m²): 4 | Cocina | Comedor | Balcón | Living | Living comedor | Aire acondicionado | Termotanque	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-monoambiente-al-frente-46-m-55773275.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=30	1	0	1	0	0	0	0	1
